position,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
139,Major objectives of GIFMIS include the following except one:,Enhance Transparency & Accountability,Facilitate Real-Time Personnel and Payroll Payment Processing,Improve Cash Management,Centralize Control & Monitoring,B,,,medium
140,How many digits does the Function segment of Chart of Accounts have?,13,15,5,8.7,C,,,medium
141,Head of internal audit should report to and have unrestricted access to the .............for audit objectivity and independence,Auditor-General of the Federal Government.,"Chairman, EFCC",Accounting Officer,Inspector General of Police.,C,,,medium
142,............. is a sub-component of the Economic Reform and Governance Project (ERGP).,REMITA,Paystack,Interswitch,GIFMIS,D,,,medium
143,How many digits does the Programme segment of Chart of Accounts have?,19,14,10,12,B,,,medium
144,IPPIS stands for......................,Integrated Personal and Payrolls Information System (IPPIS),Interactive Personnel and Payroll Information System (IPPIS),Integrated Personnel and Payroll Information System (IPPIS),Integrated Personified and Payroll Information System (IPPIS),C,,,medium
145,How many digits does the Economic segment of Chart of Accounts have?,3,8,13,12,B,,,medium
146,"................... is a standardized, 52-digit financial coding framework used by the Federal, State, and Local governments in Nigeria.",Natural Chart of Accounts (NCOA),National Chart of Accounts (NCOA),National Cheat of Accounts (NCOA),National Chant of Accounts (NCOA),B,,,medium
147,How many digits does the Fund segment of Chart of Accounts have?,5,9,14,15.5,A,,,medium
148,Objectives of IPPIS include all but one of the following.,To centralize data base of Federal Government employees.,To simplify administration of monthly payroll of Federal Government employees.,To minimize ghost worker sydrome and payroll fraud.,To bolster wastage of public funds.,D,,,medium
149,How many digits does the Geographical Segment of Chart of Accounts have?,16,11,8,14,C,,,medium
150,IPSAS stands for....................................................,Internatural Public Sector Accounting Standards (IPSAS),International Public Sectory Accounting Standard (IPSAS),International Public Sector Accounting Standards (IPSAS),International Public Sector Accounting Structures (IPSAS),C,,,medium
151,How many digits does the Administrative segment of Chart of Accounts have?,18,15,10,12,D,,,medium
152,What is the primary purpose of a Vote Book in the Nigerian Public Service?,To record personal staff salaries,To monitor and control expenditure against authorized provisions,To generate revenue receipts,To track external debts,B,,,medium
153,"An officer is considered to be in a state of ""Financial Embarrassment"" when:",They lose their official ID card,They take an approved annual leave,Their indebtedness causes them serious financial hardship,They are assigned to a new ministry,C,,,medium
154,"Which of the following best describes an ""Imprest""?",A bank loan for civil servants,A permanent fund given to a contractor,"A cash advance of a fixed amount to cover minor, urgent expenses",An unauthorized government expenditure,C,,,medium
155,"Under government financial regulations, what authorization document is required before recurrent expenditure can be incurred?",Due Process Certificate,Departmental Warrant / AIE,Tenders Board Minutes,Board of Survey Report,B,,,medium
156,What is the full meaning of TSA as implemented in Nigerian public sector accounting?,Treasury Standard Administration,Tax Stabilization Account,Treasury Single Account,Total Service Allocation.,C,,,medium
157,"In the context of expenditure control, what is the primary purpose of maintaining a Vote Book?",To record daily staff attendance and leave schedules,To process payment vouchers for contractors,To reconcile bank statements at the end of the month,To track cumulative expenditure and prevent overspending of allocated funds .,D,,,medium
158,Which of the following best describes the core directive of the Treasury Single Account (TSA) policy as it relates to e-payment in the Nigerian Civil Service?.,Consolidating all government revenues and payments into a unified bank structure at the Central Bank,Allowing each Ministry to maintain independent commercial bank accounts for quick transactions,The issuance of physical cheques for all government procurements over a certain threshold,Paying civil servants their salaries entirely in cash on a monthly basis,A,,,medium
159,"According to the Financial Regulations, how many hours does an officer have to report a case of loss of public funds or stores to their superior officer and the Accountant-General?",Within 12 hours,Within 48 hours,Within 24 hours,Within 72 hours,C,,,medium
160,"If a public officer is found to be responsible for the loss or deficiency of government funds through negligence, who has the primary statutory authority to surcharge the officer?","The Permanent Secretary of the Ministry Incorrect. While they report the loss, they do not have the legal authority to surcharge the officer.",The Accountant-General of the Federation.,The Auditor-General for the Federation,The Minister of Finance.,B,,,medium
161,How many working days is an officer usually given to respond to an audit observation/query from the Office of the Auditor-General or Internal Audit?,48 hours,7 working days,14 working days,21 working days,A,,,medium
162,"To whom does the Auditor-General for the Federation submit their annual report after auditing the accounts of all federal ministries, extra-ministerial departments, and agencies?",The President of the Federal Republic of Nigeria,The Minister of Finance,The Accountant-General of the Federation,The National Assembly,D,,,medium
163,Withdrawals from the Contingencies Fund are strictly authorized by which of the following instruments?,General Warrant,Supplementary Warrant,Contingencies Fund Warrant,Special Imprest Warrant,C,,,medium
164,Which of the following is NOT a valid legal authority for incurring public expenditure in the Nigerian Civil Service?,A Ministerial Executive Order,The Appropriation Act.,A Supplementary Appropriation Act,A Special Warrant,A,,,medium
165,Which officer is responsible for carrying out continuous pre-auditing checks on payment vouchers before they are passed for payment by the Cashier?,The Director of Finance and Accounts,The Procurement Officer,The Internal Auditor,The Storekeeper,C,,,medium
166,The e-payment policy in the Nigerian public service prohibits the direct payment of salaries and overheads into cash. Which electronic platform is specifically utilized for the processing of civil service salaries and pensions?,GIFMIS (Government Integrated Financial Management Information System),IPPIS (Integrated Payroll and Personnel Information System),REMITA,TSA (Treasury Single Account),B,,,medium
167,"When a loss of government funds occurs due to suspected theft or fraud, what is the first official written report rendered by the Head of Department to the Accountant-General?",Preliminary Loss Report,Final Loss Report,Board of Survey Report,Police Investigation Report,A,,,medium
168,"According to the Financial Regulations on losses of public funds, a Board of Enquiry is formally constituted to investigate a loss when:","The amount lost exceeds 100,000 Naira",The loss is recovered immediately by the cashier,The police request a witness statement,There are conflicting accounts of the loss or multiple officers might be involved,D,,,medium
169,What is a Local Purchase Order (LPO) primarily used for in government financial transactions?,To authorize the release of cash to a contractor in advance of work,To formally request and commit funds for goods or services from a supplier on credit,To pay monthly utility bills such as electricity and water,To recruit casual staff into the civil service,B,,,medium
170,"When a loss of public funds occurs, the Accounting Officer must immediately set up an internal investigation. If the officer decides a formal panel is needed, what is the maximum number of days allowed to submit the final report of the Board of Enquiry to the Accountant-General?",14 days,30 days,45 days,60 days,C,,,medium
171,"If an officer fails to respond to an audit query within the mandatory 48-hour window without a valid written reason, what immediate disciplinary action can the Accounting Officer take regarding the officer’s pay under the FR?",Outright dismissal from the civil service,Withholding of the officer's salary,A flat 10% deduction from the next salary,Demotion by one grade level,B,,,medium
172,"Following a theft, the Head of Department sends a Preliminary Loss Report. What is the name of the comprehensive, secondary report that must be sent once the police investigation and internal audits are fully concluded?",Final Loss Report,Concluded Investigation Brief,Board of Survey Summary,Treasury Disciplinary Report,A,,,medium
173,Who has the statutory power to appoint external auditors to audit the accounts of Federal Government Statutory Corporations and Parastatals in Nigeria?,The President,The Minister of Finance,The Auditor-General for the Federation,The Board of Directors of the Parastatal,C,,,medium
174,"If a minor cash shortage occurs at a ministry's cash office, and the cashier voluntarily refunds the full missing amount within 24 hours, which of the following is true under the Financial Regulations?",The loss does not need to be reported to the Accountant-General.,The loss must still be reported via a Preliminary Loss Report.,The cashier is automatically suspended for two weeks.,The case is handed over to the police immediately.,B,,,medium
175,"Under the Fiscal Responsibility Act (FRA) of 2007, the Federal Government must prepare a three-year rolling plan as the basis for the annual budget preparation. What is the official name of this framework?",Medium-Term Expenditure Framework (MTEF) and Fiscal Strategy Paper (FSP),National Economic Empowerment and Development Strategy (NEEDS),Annual Appropriation Estimates and Revenue Projections,Treasury Single Account Rolling Plan,A,,,medium
176,Which statutory body in Nigeria is constitutionally mandated to monitor the accruals to and disbursement of revenue from the Federation Account?,Nigeria Revenue Service (NRS),Revenue Mobilisation Allocation and Fiscal Commission (RMAFC),Budget Office of the Federation (BOF),"National Salaries, Incomes and Wages Commission (NSIWC)",B,,,medium
177,"The Nigerian public service has transitioned from cash-basis accounting to an international framework aimed at improving transparency, consistency, and accountability in financial statements across government entities. What is this framework called?",: International Financial Reporting Standards (IFRS),Generally Accepted Accounting Principles (GAAP),International Public Sector Accounting Standards (IPSAS),Public Sector Financial Control Rules (PSFCR),C,,,medium
178,"Which IT-based platform is used by the Federal Government of Nigeria to automate budget preparation, budget execution, and financial reporting across all Ministries, Departments, and Agencies (MDAs)?",Integrated Payroll and Personnel Information System (IPPIS),Government Integrated Financial Management Information System (GIFMIS),Automated Joint Tax Board System (AJTBS),Nigeria Centralized Revenue Portal (NCRP),B,,,medium
179,"According to the Fiscal Responsibility Act, what is the maximum fiscal deficit allowed for the Federal Budget as a percentage of the estimated Gross Domestic Product (GDP), unless the President determines otherwise due to national security or economic emergencies?",1%,3%,5%,10%,B,,,medium
180,"Under Chapter 25 of the Financial Regulations, which of the following scenarios does NOT technically constitute a formal ""loss of public funds or stores""?",Overpayment of a contractor’s invoice that cannot be recovered.,A deficiency of revenue caused by a willful failure to collect authorized taxes.,Expenditure incurred on a project that exceeded its initial estimated budget but remained within the approved supplementary allocation.,The destruction of unissued government stamps due to poor storage conditions.,C,,,medium
181,"When a loss of public funds is verified and cannot be recovered from the responsible officer, who holds the ultimate statutory power to approve the final administrative write-off of the loss up to specified monetary thresholds?",The Auditor-General for the Federation.,The Minister of Finance.,The Chairman of the Civil Service Commission.,The Director of Internal Audit.,B,,,medium
182,"According to the Financial Regulations, an Accounting Officer is obligated to recommend the constitution of a formal Board of Enquiry to the Accountant-General if the loss of public funds involves which of the following circumstances?",The loss was completely recovered within 48 hours.,"Fraud, theft, or systemic negligence is strongly suspected, and multiple officers are shifting blame.",The loss involves a minor mathematical error on a payment voucher that was corrected before disbursement.,"The loss was less than 5,000 Naira and occurred due to a bank transaction fee discrepancy.",B,,,medium
183,"the government by a private entity, and the claim becomes legally uncollectible due to negligence, how is this handled under the Financial Regulations?",It is ignored as it is classified as a private commercial transaction.,It is treated exactly like a physical loss of public cash and must be reported via a Loss Report.,The Ministry can silently delete the debt from the system at the end of the fiscal year.,It requires a direct executive order from the National Assembly to be processed.,B,,,medium
184,"During a periodic stock verification exercise in a Ministry's central store, a significant shortage of valuable office equipment is discovered. Who is the first officer that must be served an immediate query to explain the discrepancy?",The Director of Finance and Accounts.,The Internal Auditor who verified the last quarterly accounts.,The Storekeeper/Store Officer in charge of custody of those specific items.,The Procurement Officer who purchased the items.,C,,,medium
185,"According to Financial Regulation 603, a payment voucher must be supported by relevant documents. Which of the following is NOT a valid supporting document for a PV?",original invoice or receipt,Local Purchase Order (LPO),A photocopy of the approved memo,Minutes of the Procurement Committee meeting (where applicable),C,,,medium
186,"In a federal Ministry, Department, or Agency (MDA), who is vested with the final authority to sign a Payment Voucher as the ""Accounting Officer""?",The Director of Finance and Accounts (DFA),The Permanent Secretary,The Head of Internal Audit,The Cashier,B,,,medium
187,"Under the Financial Regulations, what is the statutory retention period for Payment Vouchers and books of accounts before they can be considered for destruction?",2 years,5 years,7 years,10 years,C,,,medium
188,"A Payment Voucher was prepared, signed, and passed for payment. However, the beneficiary failed to collect the cash or cheque within the stipulated time. According to the FR, after how many days must an uncollected cheque/cash be paid back into the bank as ""Unclaimed Wages""?",7 days,14 days,30 days,60 days,B,,,medium
189,"Which of the following information is strictly required to be written in words, and not just in figures, on a valid government Payment Voucher?",The LPO number,The Head and Sub-head numbers,The total amount payable,The date of approval,C,,,medium
190,"In the Nigerian Civil Service, a Trial Balance is extracted at the end of every month. What is the primary purpose of a Trial Balance in government accounting?",To determine the net profit of the MDA,To prove the arithmetical accuracy of the double-entry bookkeeping system,To approve the budget for the next financial year,To show the exact value of fixed assets held by the government,B,,,medium
191,"If a revenue clerk in the Ministry of Transport erroneously posts a receipt of ₦50,000 to the wrong Sub-head, but enters it correctly on the debit and credit sides, how will this affect the monthly Trial Balance?",The Trial Balance will not balance; the debit side will be higher.,The Trial Balance will not balance; the credit side will be higher.,The Trial Balance will still balance.,The Trial Balance will automatically reject the entry.,C,,,medium
192,Which of the following errors will be completely disclosed (detected) by a Trial Balance?,An error of original entry,A complete omission of a transaction,A casting (addition) error in the Cash Book,An error of principle,C,,,medium
193,"When a government accountant prepares a monthly Trial Balance and finds a difference between the total debits and total credits, what temporary account is opened to hold the difference while investigations are ongoing?",Suspense Account,Loss of Public Funds Account,Below-the-line Account,Consolidated Revenue Fund Account,A,,,medium
194,"In line with the Treasury Circulars and the Fiscal Responsibility Act, MDAs are expected to submit their monthly Trial Balance to the Office of the Accountant-General of the Federation (OAGF) not later than:",The 10th day of the following month,The last day of the financial year,3 months after the end of the year,14 days before the budget defense,A,,,medium
195,"According to Nigerian Financial Regulations, what is the primary purpose of a standing imprest?",To finance the procurement of major capital assets.,"To meet minor, day-to-day recurrent expenses of a department.",To pay the monthly salaries of junior staff.,To provide salary advances to civil servants in financial distress.,B,,,medium
196,When is a standing imprest required to be fully retired and accounted for under the Financial Regulations?,At the end of every week.,Every quarter.,Whenever the balance reaches zero.,On or before the 31st of December of the financial year.,D,,,medium
197,What is the stipulated timeframe for an officer to retire a cash advance granted for an official tour?,Within 7 days of returning to the duty station.,Within 14 days of returning to the duty station.,Within 30 days of returning to the duty station.,At the end of the month in which the tour was conducted.,B,,,medium
198,"Under the revised Public Service Rules and Financial Regulations, what is the minimum distance an officer must travel from their headquarters to be eligible to claim Duty Tour Allowance (DTA)?",More than 20 kilometers.,More than 5 kilometers.,At least 50 kilometers.,More than 100 kilometers.,A,,,medium
199,"If an officer is granted a cash advance for an official purpose and there is an unspent balance after the assignment, what is the correct procedure?",The officer should keep the balance to offset their next official trip.,The officer can donate the balance to the departmental welfare fund.,The balance must be refunded in cash to the Sub-Treasurer/Cashier immediately upon retirement of the advance.,The officer should deduct the balance from their next month's salary.,C,,,medium
200,Duty Tour Allowance (DTA) rates in the Nigerian Public Service are determined primarily by which of the following factors?,The distance traveled and the mode of transportation used.,The officer's substantive Salary Grade Level.,"The number of days spent outside the country, irrespective of rank.",The discretionary approval of the Permanent Secretary.,B,,,medium
