position,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
136,Officers are eligible for appropriate estacode allowance for the following reasons except:,Performing special duty abroad,Carrying out official duties during vacation leave abroad,Undertaking self-sponsored undergraduate/ postgraduate course for improving his performance in the office.,On a delegation or visit to an organization abroad for a short period.,C,,,medium
137,The following officers are entitled to responsibility allowance except:,"Chief Cofidential Secretaries of the President, Vice President, Senate President, SPeaker of House of Reps., CJN, SGF,HCSF, and Hon. Ministers",Assistant Chief Confidential Secretaries to Perm Sec.s. CEOs and Directors.,Principal Secretaries to the General Managers of Extra-Ministerial Offices.,,C,,,medium
138,Payment for overtime on normal working days would be at the rate of .........of the monthly consolidated salary subject to a maximum of ......in one month,"1.4 percent, 90 hours","1.2 percent, 75 hours","0.9 percent, 60 hours","0.7 percent, 45 hours",D,,,medium
139,"Payment for overtime on weekends would be at the rate of ................of the normal overtime rate whereas on public holidays, the rate would be ............ the normal overtime rate.","1.5 percent, double","0.9 percent, Quadruple","2.5 percent, triple",,A,,,medium
140,.......... will be paid as Resettlement allowance to a posted or transferred officer whose living condition has been disturbed by such posting or transfer,1.5 percent of annual total emolument,2 percent of annual total emolument,0.75 percent of annual total emolument,3.5 percent of annual total emolument,B,,,medium
141,Officers on shift duties and are not Health professionals will be paid shift duty allowance at the rate of .........of their monthly salaries.,15 percent,50 percent,35 percent,25 percent,A,,,medium
142,"....................is to 'attain an integrity and merit-based civil service that is performance driven, accountable and committed to continous improvement in the conduct of government business'.",The mission of Nigeria Union of Pensioners (NUP),The mission of the Senate Committee on Establishment,The mission of the civil service.,None of the above.,C,,,medium
143,"Drivers who have been driving for a period of at least six months in a year, and not involved in an accident will be paid non-accident bonus at the rate of .......per annum.","N150,000","N120,000","N75,000","N50,000",D,,,medium
144,"When an Officer is reported missing and he/she is not located within a period of ..........from the date he/she was declared missing, a Board of Enquiry will be set up to determine if it is reasonable to presume that the officer is dead.",four years,three years,one year,two years,B,,,medium
145,Core Principles of Civil Service are:,"Learning, Growth, Innovation, and Development","Sincerity, Purposefulness, Solidarity, and Sensitiveness","Stewardship, Trust, Engagement, and Professionalism","Priotization, Associationship, Culturedness, and Interactiveness.",C,,,medium
146,Deferred leave is ............ in the Nigerian Public Service,permitted,existent,claimale,abolished,D,,,medium
147,An Officer serving abroad is entitled to ...........of his annual Foreign Service Allowance as leave transport grant.,5 percent,2 percent,15 percent,7.5 percent,B,,,medium
148,Officers transferred from one post abroad to another or from Nigeria to a post abroad will be entitled to ........... and ...........of consolidated salary.,"15% (Married), 20% (Single)","12% (Married), 10% (Single)","7% (Married), 5% (Single)","10% (Married), 7.5% (Single)",C,,,medium
149,...................is a bureacratic organization which enjoys continuity of existence.,Nigerian Polical Office,Labour Unionism,Civil Service,None of the above.,C,,,medium
150,An employee's record of service is also called..............,Record of employment,GEN 60,Record of Labour engagement.,GEN 16,B,,,medium
151,An officer returning from annual leave must complete and submit a resumption duty certificate which is called .............to the Accounting Officer.,Form FC 02,Form FC 12,Form L 10,None of the above.,C,,,medium
152,Junior Staff Committee is empowered to interview eligible officers and recommend their promotions to posts on salary grade levels ................... to the Permanent Secretary for approval and implementation.,05-06,02-06,04-06,07-13,B,,,medium
153,Which one is true among the following about an Officer who relinquishes his appointment during the period of his probationary service?,The Officer may be required to refund any expenditure incurred by government in transporting his family from the place at which he was employed and he will not entitled to any government transport facility to his domicile of origin.,"As an Officer who has served the government, even if it is a day, he is statutorily eligible for resettlement allowance to enable him move on with his life after leaving the government job.","As an Officer who has served the government, even if it is a day, he is statutorily eligible for disengagement allowance and severance benefits to enable him move on with his life after leaving the government job.",The Officer will automatically get a waiver for any expenditure incurred by government in transporting himself and his family from the place at which he was employed and he will also be entitled to severance benefits from the government coffers.,A,,,medium
154,Appointments to offices in the Federal Civil Service are made on the authority of which of the following?,Office of the Head of the Civil Service of the Federation (OHCSF) only.,Office of the President of the Federal Republic of Nigeria (OP-FRN) only.,Federal Civil Service Commission (FCSC) only.,Office of the Secretary to the Government of the Federation (OSGF) only.,C,,,medium
155,The ...........................must be the Chairman of the Senior Staff Committee while members would be all the Directors in the concerned MDA.,MDA's Honurable Minister,Head of the Civil Service Commission,Head of the Civil Service of the Federation,MDA's Accounting Officer.,D,,,medium
156,Civil Service appointments are made in the following ways except:,By letter of appointment written under the direction of the FCSC.,By FCSC's formal agreement authorizing Permanent Secretaries to appoint eligible persons to positions.,A and B only.,None of the above.,C,,,medium
157,"The Chairman of the Junior Staff Committee (Headquarters) must me the Director, Personnel/Human Resources Management with other members not below Salary Grade Level 12 and ............................",a Representative of the Ministry of Labour and Employment. b a Representative of the Office of the Head of the Civil Service of the Federation,,a Representative of the Federal Civil Service Commission,All of the above.,C,,,medium
158,...............................Will be responsible for any transfer/secondment to posts on salary grade levels (SGL) 01-06,Accountant General of the Federation,"Chairman, Federal Civil Service Commission.",Junior Staff Commission of a concerned MDA.,Head of the Civil Service of the Federation.,C,,,medium
159,Any complaints or grievances regarding posting instructions should be submitted through appropriate channels within ................the posting is released.,30 working days.,21 working days.,10 working days.,3 working days.,D,,,medium
160,Appointments into Posts Grade Levels 07-17 are done by which MDA?,Office of the Head of the Civil Service of the Federation (OHCSF) only.,Office of the President of the Federal Republic of Nigeria (OP-FRN) only.,Federal Civil Service Commission (FCSC) only.,Office of the Secretary to the Government of the Federation (OSGF) only.,C,,,medium
161,The appointment into the salary grade level 06 and below is delegated to be handled by...................,Office of the Head of the Civil Service of the Federation (OHCSF).,"Junior Staff Committee of Ministres, Extra-Ministerial Departments and Agencies (MDAs).",The Headquarters and State offices of the Federal Civil Service Commission (FCSC).,Office of the Secretary to the Government of the Federation (OSGF).,B,,,medium
162,On no account will a candidate be appointed into the Federal Public Service without authorized establishment and recruitment waiver from...........,Office of the Head of the Civil Service of the Federation (OHCSF).,Office of the Minister of the Federal Ministry of Labour and Employment.,Federal Civil Service Commission (FCSC).,Office of the Secretary to the Government of the Federation (OSGF) only.,A,,,medium
163,"The Chairman of the Junior Staff Committee (Local) must me the Director, Personnel/Human Resources Management with other members not below Salary Grade Level..............",GL 13,GL 10,GL 08,None of the above.,C,,,medium
164,Any applicant seeking an employment into the Federal civil service must compulsorily declare whether or not...................,he has been convicted of a criminal offence.,he is free from financial embarrassment.,"he has been engaged in any prior employment(s), he has left and why or he is still under obligation to remain in it.",All of the above.,D,,,medium
165,The duration limits for the tenure of any Union Executives must not be more than .........in the first instance and no Union Executive must serve more than a total of .............during his service life.,"three years, six years.","two years, four years.",A or B,None of the above.,B,,,medium
166,An Extra-Ministerial Office posted an Officer to an MDA but the latter redeployed the officer to its state/zonal office. The cost associated with the officer's change of duty post/station will be borne by..............,The Pool office from where he was initially posted to the MDA.,The MDA that re-posted the officer to an outside station/post.,Both the Extra-Ministerial Office (Pool Office) and the MDA,All of the above.,B,,,medium
167,"The period of acting appointment should not exceed ..............but in exceptional circumstances, it may be extended by another...............","three years, three years.","five years, five years","two years, two years.","one year, one year.",D,,,medium
168,The quorum at any meeting of Junior Staff Committee (Local) must ........including the Chairman.,9,7,5,3,C,,,medium
169,"An MDA where junior staff members sat for a promotion interview/examination must forward returns on the promotion of the affected officers to the FCSC within.............of the completion of the exercise for purposes of information, monitoring and statistics.",Eight (8) weeks.,One (1) Week,One (1) month,Three (3) weeks.,D,,,medium
170,which of the forms must be completed by applicants seeking employment into senior posts under the Federal Civil Service Commission (FCSC)?,FCSC Application Form (FC- 2),FCSC Application Form (FC- 5),FCSC Application Form (FC- 3),None of the above.,A,,,medium
171,Junior Staff Committee is empowered to interview eligible officers and recommend their promotions to posts on salary grade levels 02-06 to the ...............for approval and implementation.,Head of the Civil Service of the Federation.,Accountant General of the Federation.,"Chairman, Civil Service Commission.",Permanent Secretary of the concerned MDA.,D,,,medium
172,...............is the official redeployment of an officer from one MDA to another or within the same MDA.,Transfer.,Relocation,Secondment,posting.,D,,,medium
173,"Scheduled service is a transferrable, treasury-funded and pensionable service to....................","Local, State or Federal Government",Approved Bodies or Recognised International Organizations.,Government Business Enterprises (GBEs).,All of the above.,A,,,medium
174,Recommendations for acting appointment must be forwarded to the Federal Civil Service Commission (FCSC) on.............,Employee record form 60 (GEN. 60),General form 66 (GEN. 66),EMployee form 02,None of the above.,B,,,medium
175,Labour Union Executives should not be posted out of their MDAs until...............,Retirement from office.,He is incapacitated.,The expiration of tenure in Office,None of the above.,C,,,medium
176,Members of Junior Staff Committee (Headquarters) should not be more than............and not less than........,"12, 10","15, 12","9, 7",None of the above.,C,,,medium
177,Applications for transfer/secondment to post on Salary Grade Level 12 and above will be made in duplicate to the...................... in response to advertisement.,"Honourable Minister, Ministry of Labour and Employment.",Office of the Head of the Civil Service of the Federation.,Federal Civil Service Commission.,All of the above.,C,,,medium
178,Applications for transfer/secondment to post on Salary Grade Level 07 - 10 will be made in the............................application forms.,National Directorate of Employment (NDE).,Office of the Head of the Civil Service of the Federation (OHCSF).,"Ministres, Extra-Ministerial Departments and Agencies (MDAs).",Federal Civil Service Commission (FCSC).,D,,,medium
179,"Once approval has been granted for transfer or secondment of an officer's service, the Federal Civil Service commission (FCSC) will simultaneuously inform the following except:",The Officer.,The releasing Office/Service which should convey the date of the officer's release.,The receiving Office/ Service which should convey the date of the officer's assumption of duty to the Commission.,The Career Management Office of the Head of the Civil Service of the Federation.,D,,,medium
180,"The Chairman of the Junior Staff Committee (Headquarters) must me the Director, Personnel/Human Resources Management with other members not below ......................and a Representative of the Federal Civil Service Commission.",Salary Grade Level 07,Salary Grade Level 08,Salary Grade Level 10,Salary Grade Level 12,D,,,medium
181,"Officers transferred or seconded to the Federal Civil Service must assume duty within ...........from the date of notification of approval of the transfer, otherwise the offer will be regarded as having lapsed.",Six (6) months.,Three (3) months.,Two (2) weeks.,Two (2) months.,D,,,medium
182,"When the date of assumption of duty of an Officer on transfer or secondment is known, a movement for records and gazette action will be raised by the Federal Civil Service Commission (FCSC) and copies sent to the following MDAs except.",the Accountant General of the Federation,Auditor General for the Federation,A and B only.,None of the above.,C,,,medium
183,.........................is empowered to interview eligible officers and recommend their promotions to posts on salary grade levels 02-06 to the Permanent Secretary for approval and implementation.,Senior Management Team (SMT),Senior Staff Committee (SSC).,"Director, Career Management Office (DCMO)",Junior Staff Committee.,D,,,medium
184,Failure of an officer to proceed on posting will be regarded as ................,Condonation,Relinquishment of appointment,Misconduct,All of the above.,C,,,medium
185,The Senior Staff Committe of an MDA must be charged with the responsibility of recommending eligible officers for promotion/upgrading and coversion to posts on Salary Grade Level.......to the Federal Civil Service Commission.,07-10,12-16,07-14,None of the above,C,,,medium
186,"Where an officer is released on secondment in the public interest and there is a differential in salary payments between the releasing and receiving MDAs, the organization with the .......pay will be responsible for the officer's salary.",Lower,Equal,Higher,None of the above.,C,,,medium
187,Posting of pool officers is mandatory after every ...........,Two years.,Five years,Six years.,Four years.,D,,,medium
188,The Chairman of the Junior Staff Committee (Headquarters) must be the ...............with other members not below Salary Grade Level 12 and a Representative of the Federal Civil Service Commission.,"Director, Career Management Office.","Director, Finance and Accounts Department","Director, Personnel/Human Resources Management.","Director, Overseeing the Office of the Permanent Secretary.",C,,,medium
189,...........................must attend meetings of the Senior Staff because his absence from the meeting renders its proceedings null and void.,MDA's Honurable Minister,A Commissioner of the Federal Civil Service Commission,Head of the Civil Service of the Federation,MDA's Accounting Officer.,B,,,medium
190,MDAs that reject pool officers deployed to them will be made to face..............,Music,Sanctions,a payment of fines,A court of competent jurisdiction.,B,,,medium
191,Senior Staff Committee's recommendations for staff promotion must be submitted to the FCSC not later than ...........from the date of the last meeting of the Committee.,Nine (9) weeks.,Twelve (12) weeks,Eight (8) weeks,Six (6) weeks.,D,,,medium
192,Officers with the following issues will not be considered for promotion except one.,Pending disciplinary Issue.,Regularization Issue.,Sickness Issue.,Confirmation of Appointment Issue.,C,,,medium
193,Promotion is subject to...................except where otherwise indicated in the Scheme of Service.,Ministerial fiat.,Head of Service's readiness to conduct promotion Interview.,Availability of vacancies.,All of the above.,C,,,medium
194,A notational promotion will no longer be granted to which of the following officers?,Officers on Approved Leave of absence/ Study Leave with Pay.,Officers on Secondment.,Officers on Special Assignment.,All of the above.,D,,,medium
195,"Aggrevied officers may petition to the Federal Civil Service Commission through appropriate channels within .......after the promotion exercise, otherwise it will not be entertained.",Three (3) weeks,Three (3) months,Six (6) weeks,Six (6) months,D,,,medium
196,"When posting pool officers, the following considerations should be taken into account except.","Posting does not result in the loss of institutional memory in any Department, Division or Unit.",Posting does not result in the loss of an employee involved in any service-wide project designated as high priority during the life-span of the project.,"Posting does not force an officer out of an office considered juicy, which may result in the loss of inflows to the concerned officer.",A and B options only.,D,,,medium
197,"During the period of secondment of an officer, the benefitting MDA will be responsible for the officer's ..............",Stipends.,Monthly allowances,Emolument,None of the above.,C,,,medium
198,Under no condition should interdiction or suspension be made to last more than..............in the first instance.,Eight (8) months,Three (3) months,Twelve (12) months,Six (6) months,B,,,medium
199,An Officer under interdiction will be receiving salary not more than ........ of his monthly remuneration.,75%,25%,50%,None of the above.,C,,,medium
200,"Where a shortcoming is observed in the conduct of an officer, the erring officer should be queried by the Head of Department (HOD) who should demand that the erring officer responds within........of the receipt of the query.",36 hours.,48 hours.,24 hours.,72 hours.,D,,,medium
