position,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
180,How many total matches were played across the entire 2026 tournament?,104,86,94,108,A,,,medium
181,The NYSC stands for?,Nigerian Youth Service Corpes,Nigerian Youth Services Corporation,National Youth Service Community,National Youth Service Corps,D,,,medium
182,"........National Assembly was inaugurated on June 13, 2023.",7th,9th,12th,10th,D,,,medium
183,NFF stands for?,Nigeria Football Federalism.,National Football Federation.,Nigeria Football Federation.,National Football Fund,C,,,medium
184,"Which country won the third-place play-off bronze medal match on July 18, 2026?",France,Morocco,Mali,England,D,,,medium
185,The full meaning of NECO is?,Nigeria Examinations Council,Nigeria Examinations Corporation,National Examinations Council,National Examinations Confederation.,C,,,medium
186,What is the full meaning of NACCIMA?,"National Association of Chambers of Commerce, Industry, Mines and Agriculture","National Association of Chamber of Commerce, Industry, Mines and Agriculture","Nigerian Association of Chamber of Commercial, Industry, Mines and Agriculture","Nigerian Association of Chambers of Commerce, Industry, Mines, and Agriculture",D,,,medium
187,What does ASERA stand for?,Association of Electricity Regulatory Agencies,Abia State Electricity Regulatory Authority,Abuja Statutory Enterprises Regulatory Agency,Association of Electrical Renaissance Authorities.,B,,,medium
188,The full meaning of SMEDAN is?,Small and Medium Enterprises Development Authority of Nigeria,Small and Macro Enterprises Development Association of Nigeria,Small and Micro Enterprises Directorate Authority of Nigeria,Small and Medium Enterprises Development Agency of Nigeria,D,,,medium
189,What does FAAN stand for?,Federation Airpots Authority of Nigeria,Federal Airports Agency of Nigeria,Federation Airspace Agency of Nigeria,Federal Airports Authority of Nigeria,D,,,medium
190,What is the full meaning of NMCN?,Nursery and Midwifery Council of Nigeria,Nurses and Midwives Corporation of Nigeria,Nurses and Midwives Council of Nigeria,Nursing and Midwifery Council of Nigeria,D,,,medium
191,What is the full meaning of PSC.,Public Service Career,Police Search Concurrence.,Public Security Council.,Police Service Commission.,D,,,medium
192,What does IPSAS represent?,"Institute of Personnel, Secretaries And Administrators Sector.",International Public Sector Accounting Standards,International Pension Securities and Sustainability.,International Public Sensitization and Accountability Strategies.,B,,,medium
193,OAU is internationally referred to?,Obafemi Awolowo University (OAU),Oba Awon University (OAU),Organisation of African Unity (OAU),Obafemi Arowolo University (OAU),C,,,medium
194,What is the full meaning of NUC?,Nigerian Universities Commission,National Universities Corporation,National Universities Communities,National Universities Commission,D,,,medium
195,What does NHIS stand for?,Nigerian Height Insurance System,National Health Insurance Standards,National Health Insurance Scheme,National Heart Insurance Scheme,C,,,medium
196,What does NBC signify?,National Broadcasting Corporation,Nigerian Broadcasting Commission,National Broadcasting Community,National Broadcasting Commission.,D,,,medium
197,What is the full meaning of ICRC,Infrastructure Concession Regulatory Commission (ICRC),International Corporation of the Red Cross (ICRC),International Committee of Research Councils (ICRC),None of the above.,A,,,medium
198,What is the full meaning of PFIPC?,Pensioners' Fund Investment Preponderance Committee,Presidential Financial Inclusion Promotion Corporation,Presidential Foreign Investment Promotion Council,None of the above.,C,,,medium
199,Where is the stadium that has the same name with Enyimba F.C. located?,"Uyo, Akwa Ibom State.","Markudi, Benue State","Aba, Abia State.","Abakaliki, Ebonyi State.",C,,,medium
200,NPFL stands for what?,Nigerian Professional Football League,National Premier Football Legend,National Professional Football League,Nigeria Premier Football League.,D,,,medium
