position,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
117,"When a public officer is appointed to a political office (e.g., as a Commissioner or Special Adviser), what type of leave is granted to enable them to take up the appointment?",Compassionate Leave,Annual Leave,Leave of Absence,Sabbatical Leave,C,,,medium
118,How many months of Pre-retirement Leave is an officer entitled to prior to their official retirement from the Nigerian Public Service?,"1 month, 3 weeks.",3 months,7 months,9 months,B,,,medium
119,Under what circumstances is an Examination Leave granted in the Nigerian Public Service?,To enable an officer to write their promotional examination.,To prepare for annual professional assessment tests mandated by MDAs.,It is not recognized under the PSR,To allow an officer to sit for approved academic or professional examinations relevant to their duties.,D,,,medium
120,Sabbatical Leave is a special category of leave. To which category of public officers is this leave primarily applicable?,All administrative officers across all cadres.,"Confirmed Officers of GL 15 and above without any pending disciplinary action, for research relevant to their duties.",Only officers on Grade Level 07-14.,Officers in the executive officer cadre only.,B,,,medium
121,What is the main purpose of the Duty Tour Allowance (DTA) in the Nigerian Public Service?,To pay for an officer's transportation costs when traveling by air.,To cover the cost of lodging and feeding when an officer travels out of their station on official assignment.,To reward an officer for working extra hours at their normal duty station.,To assist an officer with moving their household items during a transfer.,B,,,medium
122,What is the strategic objective of the Conversion process within the Public Service Rules framework?,To enable officers to bypass promotion examinations.,To ensure optimal utilization of manpower and allow officers to advance along pathways matching their newly acquired skills.,To penalize officers who are unable to progress in their initial cadres.,To eulogize efficiency and reduce the salary burden on the federal government.,B,,,medium
123,"Which category of public officers is generally eligible to receive Overtime Allowance for working beyond official hours, subject to approval?",All officers from Grade Level 01 to Grade Level 17.,"Junior officers and specific technical cadres on Grade Levels 01–14, provided it is authorized..",Only Directors (GL 16) and Permanent Secretaries.,Officers currently on study leave with pay.,B,,,medium
124,"For an officer to be eligible for an Acting Allowance, what is the minimum continuous period they must act in the higher position?",14 calendar days,21 working days,30 calendar days,6 consecutive months,C,,,medium
125,Which of the following cadres is most likely to be paid a Uniform Allowance in the civil service?,Administrative Officers in the Ministry of Finance.,Accountants in the Office of the Accountant-General.,"Nurses, Customs Officers, and Immigration personnel.",Confidential Secretaries.,C,,,medium
126,When is a Responsibility Allowance typically granted to a public officer?,Automatically upon promotion to Grade Level 10.,When an officer is assigned distinct duties that carry a higher level of accountability but do not qualify for a full acting appointment.,When an officer is taking care of a sick family member.,As a hazard payout for handling dangerous office chemicals.,B,,,medium
127,What determines the payment of Hazard Allowance to a public servant?,"The inherent danger, risk, or health exposure associated with the officer's specific profession or daily tasks.",The geographic location of the office in a remote rural area.,total number of years the officer has spent in service.,High inflation rates in the national economy.,A,,,medium
128,"If an officer dies in active service, what allowance or financial provision is paid to their legal next-of-kin to assist with immediate burial arrangements?",Leave Transport Grant (LTG),Acting Allowance,Burial Expenses Grant (and repatriation of the corpse),DTA (Duty Tour Allowance),C,,,medium
129,What does the Kilometre Allowance compensate an officer for?,The distance an officer walks to stay fit under health policies.,The distance between Nigeria and overseas training destinations.,Daily commuting from home to the permanent office building.,"Using his privately owned vehicle to execute official government business, calculated per kilometre.",D,,,medium
130,What allowance or grant is given to an officer who is formally retiring from the service after 35 years of service or reaching 60 years of age?,Casual Allowance,Responsibility Allowance,25% Disengagement allowance plus kilometre allowance,DTA (Duty Tour Allowance).,C,,,medium
131,"An officer resigns from the Federal Civil Service to venture into private business and is re-employed 22 months later. Under the PSR, what is the primary condition for this officer's previous service to be condoned?",The break in service must not be more than 12 months under any circumstances.,The officer must have served for at least 15 years before resigning.,The officer must be re-employed within three years and must refund any gratuity or benefits received from the previous service.,Condonation has been abolished for officers who resign voluntarily.,C,,,medium
132,Which of the following scenarios best describes the condition for the payment of a Resettlement Allowance to a civil servant?,When an officer is posted on permanent transfer from one station to another,When an officer proceeds on their yearly annual leave,When an officer is promoted to the next higher grade level,When an officer attends a mandatory local training workshop,A,,,medium
133,"According to the Revised Public Service Rules (PSR) and extant circulars, what primarily determines the approved rate of Duty Tour Allowance (DTA) payable to a civil servant in the Nigerian Public Service?",The total number of years an officer has spent in the civil service,The officer's current Grade Level,The geographical distance travelled from the duty station,"The specific Ministry, Department, or Agency (MDA) the officer belongs to",B,,,medium
134,Which allowance is payable to a public officer who is required to travel to a temperate region outside Nigeria on official duty or training?,Estacode allowance,Warm Clothing Allowance,Overseas Duty Allowance,Resettlement Allowance,B,,,medium
135,"According to the extant Financial Regulations, what is the maximum number of days for which Duty Tour Allowance (DTA) can be paid at a stretch, before special approval from the Head of the Civil Service is required?",15 days,21 days,28 days,14 days,D,,,medium
136,"Which of the following best describes ""Conversion"" as defined in the Nigerian Civil Service?",The process of upgrading an officer's salary step within the same cadre due to an acquired degree.,The authorized movement of a civil servant from one cadre to another with a corresponding change of status and designation.,The automatic promotion of an officer from one grade level to the next higher grade level based on annual performance.,The permanent transfer of a civil servant from a State Civil Service to the Federal Civil Service.,B,,,medium
137,"According to the Public Service Rules (PSR), what is the minimum number of years an officer is generally required to serve in their current substantive post before being considered for conversion?",One year,Four years,Six years,Two years,D,,,medium
138,"Under what specific circumstance is an officer granted an ""Upgrading"" rather than a ""Conversion"" in the Nigerian Civil Service?",When they apply to move from the Executive Cadre to the Administrative Cadre.,"When they acquire an additional educational qualification that is relevant to their present cadre, allowing for a review of their entry point.",When they transfer their service from a State Ministry to a Federal Ministry.,When they change from a Clerical Officer to an Executive Officer.,B,,,medium
139,"Which of the following best differentiates a ""Merger of Service"" from a ""Condonation of Service""?","Merger applies when an officer transfers between Ministries, while condonation applies to transfers to Parastatals.","Merger refers to unbroken continuous service (e.g., when moving directly from the Public Service to a scheduled Corporation without a hiatus), whereas condonation is the waiving of a break in service.","Merger is approved by the President, while condonation is approved by the Head of the Civil Service.","Merger cancels previous pension rights, while condonation preserves them.",B,,,medium
140,Which body is primarily responsible for the final approval of conversion of officers on Grade Level 07 to 13 in the Federal Civil Service?,The Office of the Head of the Civil Service of the Federation (OHCSF),The Permanent Secretary of the officer's Ministry,The Federal Civil Service Commission (FCSC),The National Council on Establishment (NCE),C,,,medium
141,What is the minimum substantive rank a civil servant must hold in the Directorate cadre to be eligible to apply for the post of Permanent Secretary in the Federal Civil Service?,Director on Grade Level 16,Deputy Director on Grade Level 15,Director on Grade Level 15,Director on Grade Level 17,D,,,medium
142,"According to the Public Service Rules (PSR), what is the minimum remaining active service requirement for a candidate applying for the post of Permanent Secretary?",At least 2 to 3 years before mandatory retirement,At least 10 years before mandatory retirement,Exactly 6 months before mandatory retirement,At least 5 years before mandatory retirement,A,,,medium
143,What are the primary stages involved in the selection and promotion process for Permanent Secretaries in the Federal Civil Service?,Political nomination and immediate swearing-in,"Written Examination (CBT), ICT Assessment, and Oral Interview",A simple seniority review and recommendation by the Head of Service,Open public debate and legislative confirmation,B,,,medium
144,Can a civil servant with a pending disciplinary case or active interdiction apply for the post of Permanent Secretary?,"Yes, provided they have a good lawyer","Yes, as long as the case is not criminal","No, they are strictly disqualified","Yes, if they are cleared by their immediate superior",C,,,medium
145,"According to the Constitution of the Federal Republic of Nigeria, who is empowered to appoint a person to the office of Permanent Secretary in the Federal Civil Service?",The Head of the Civil Service of the Federation,The President,The Federal Civil Service Commission (FCSC),The Secretary to the Government of the Federation (SGF),B,,,medium
146,"In the context of the civil service, which of the following best describes the primary role of a Permanent Secretary?",Accounting Officer of the Ministry,Spokesperson for the political party in power,Chairman of the Federal Civil Service Commission,Political leader of the Ministry,A,,,medium
147,What policy principle guides the appointment of Permanent Secretaries at the Federal level to ensure inclusivity and geographical spread?,The Merit-Only Principle,The Federal Character Principle,The Quota System for Juniors,The Seniority-First Rule,B,,,medium
148,"In the promotion examination for the post of Permanent Secretary, which of the following is typically the main focus of the Policy and Administration paper?",Detailed mathematical and statistical analysis,Foreign language fluency tests,"Government policies, Public Service Rules, and Financial Regulations",Technical engineering specifications,C,,,medium
149,Why is continuous participation in management and leadership courses (such as those from ASCON) highly regarded in the selection process for Permanent Secretaries?,It guarantees automatic promotion without passing the exams,"It demonstrates capacity in policy formulation, leadership, and modern public administration",It is merely a hobby for civil servants,It increases a candidate's chronological age,B,,,medium
150,Why has the ICT Assessment become a critical stage in the Permanent Secretary promotion examination?,To ensure candidates can type faster than junior officers,To replace the services of ICT Directors in Ministries,To ensure candidates are equipped to drive modern e-governance and digital transformation initiatives,To test their knowledge of computer hardware repairs,C,,,medium
151,Which body is primarily responsible for the final approval of conversion of officers on Grade Level 07 to 13 in the Federal Civil Service?,The Office of the Head of the Civil Service of the Federation (OHCSF),The Permanent Secretary of the officer's Ministry,The National Council on Establishment (NCE),The Federal Civil Service Commission (FCSC),D,,,medium
152,"What is the fundamental distinction between ""Reinstatement"" and ""Condonation of Service"" under the Nigerian Public Service Rules (PSR)?","Reinstatement applies to officers whose previous service was broken by voluntary resignation, whereas condonation applies to officers whose service was terminated due to disciplinary action.","Reinstatement restores an officer to the same rank and seniority without any break in service following an unlawful dismissal, whereas condonation officially waives a break in service to allow previous and current service records to be merged for pension purposes.","Reinstatement involves the transfer of an officer from one Ministry to another, whereas condonation is the regularization of service for officers who have absconded.","Reinstatement requires the approval of the Head of the Civil Service, whereas condonation requires the approval of the Secretary to the Government of the Federation.",B,,,medium
153,What is the specific role of the Head of the Civil Service of the Federation (HCSF) in processing an application for condonation of service for a senior officer?,The HCSF grants final approval on behalf of the President.,The HCSF handles condonation exclusively for officers on Grade Level 06 and below.,The HCSF reviews the application and makes recommendations to the Federal Civil Service Commission (FCSC) for final determination.,The HCSF has no administrative role in condonation matters.,C,,,medium
154,What is the primary implication of condonation of service on a civil servant's retirement benefits?,It grants the officer double pension benefits for the two different service periods.,It allows the previous period of service to be aggregated with the new period to compute the total qualifying pensionable service.,It cancels the first service period and requires the officer to start a completely new contributory pension scheme without past benefits.,"It has no effect on pension, as pension is solely based on the final salary at the point of retirement.",B,,,medium
155,"What is the fundamental difference between the ""Termination of Appointment"" and ""Dismissal"" in the civil service?","Termination is for senior staff, while dismissal is for junior staff.","Termination allows the officer to retain claims to accrued retirement benefits, while dismissal results in total forfeiture of all pension and gratuity rights.","Dismissal requires a three-month notice, whereas termination is immediate.",Both penalties carry the exact same financial consequences.,B,,,medium
156,An officer on a probationary appointment can have their appointment terminated by the Commission. What notice or remuneration is standard in lieu of notice?,Three months' notice or three months' salary in lieu.,Six months' notice or six months' salary in lieu.,One month's notice or one month's salary in lieu.,Immediate termination without any form of notice or salary.,C,,,medium
157,"If a permanent, pensionable officer's position is completely eliminated due to government restructuring, what is the appropriate term for their exit from service?",Dismissal,Compulsory Retirement on grounds of Redundancy,Termination of Appointment,Resignation,B,,,medium
158,"Which of the following is considered an act of ""Serious Misconduct"" that can lead directly to dismissal rather than a simple termination?",Occasional late coming to the office.,Financial embarrassment due to personal debts.,Falsification of official records and financial fraud.,Loss of an office asset due to minor negligence.,C,,,medium
159,Who has the ultimate statutory authority to terminate or dismiss a civil servant on Grade Level 07 and above?,The Head of Civil Service of the Federation / State.,The Civil Service Commission.,The supervising Minister or Commissioner.,The Union Chairman.,B,,,medium
160,"When an officer's appointment is terminated due to general inefficiency, what entitlement does the officer typically retain regarding retirement benefits, unlike a dismissed officer?",Loss of all accrued rights,"Eligibility for accrued pension and gratuity based on service years, provided they are a confirmed pensionable officer",Automatic re-absorption into another ministry after six months,Full salary continuation for life.,B,,,medium
